epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,13429.4,1.24775,0.90491,1.20318,0.8205,0.73747,0.8193,0.50488,1.16227,1.07605,1.10661,0.00340186,0.00340186,0.00340186
115,13547.5,1.24137,0.89418,1.19998,0.8222,0.73588,0.81949,0.50549,1.16206,1.07109,1.10668,0.00338771,0.00338771,0.00338771
116,13665.2,1.22901,0.89031,1.19222,0.82206,0.73626,0.81962,0.50555,1.1619,1.06628,1.10649,0.00337357,0.00337357,0.00337357
117,13783.1,1.24523,0.89108,1.19723,0.82165,0.73622,0.8195,0.50601,1.16228,1.06459,1.10658,0.00335943,0.00335943,0.00335943
118,13901.5,1.23154,0.88091,1.19418,0.82466,0.73508,0.81969,0.50589,1.16207,1.06138,1.10666,0.00334529,0.00334529,0.00334529
119,14019.6,1.22665,0.88496,1.19097,0.82393,0.73512,0.8197,0.50581,1.16194,1.05859,1.10652,0.00333114,0.00333114,0.00333114
120,14137.5,1.22586,0.88273,1.19693,0.82462,0.73753,0.81999,0.50558,1.16201,1.05754,1.10678,0.003317,0.003317,0.003317
121,14255.2,1.229,0.88077,1.19017,0.82191,0.73755,0.81959,0.50602,1.16188,1.05358,1.10672,0.00330286,0.00330286,0.00330286
122,14373,1.22816,0.88123,1.19227,0.81575,0.7415,0.82007,0.50574,1.16218,1.05168,1.10683,0.00328871,0.00328871,0.00328871
123,14490.7,1.23342,0.88179,1.19792,0.81593,0.74132,0.8199,0.50584,1.16288,1.04866,1.10694,0.00327457,0.00327457,0.00327457
124,14608.7,1.22565,0.87439,1.19073,0.81755,0.74043,0.81959,0.50572,1.1628,1.04737,1.10701,0.00326043,0.00326043,0.00326043
125,14726.9,1.22757,0.8766,1.19148,0.81145,0.74794,0.81984,0.50558,1.16265,1.04559,1.10688,0.00324629,0.00324629,0.00324629
126,14845.3,1.2261,0.87068,1.18494,0.81298,0.74869,0.8204,0.50543,1.16269,1.04462,1.10685,0.00323214,0.00323214,0.00323214
127,14963.5,1.22517,0.86751,1.18695,0.81257,0.74845,0.82067,0.50513,1.16267,1.0427,1.10692,0.003218,0.003218,0.003218
128,15081,1.21974,0.86312,1.18383,0.81319,0.7482,0.82089,0.50536,1.1624,1.04224,1.10671,0.00320386,0.00320386,0.00320386
129,15198.6,1.22532,0.87069,1.18608,0.81368,0.74842,0.82139,0.50586,1.1627,1.03667,1.10663,0.00318971,0.00318971,0.00318971
